Port_Label,Q1 2006_Index_Average_Q1_2023__100_Value,Q2 2006_Index_Average_Q1_2023__100_Value,Q3 2006_Index_Average_Q1_2023__100_Value,Q4 2006_Index_Average_Q1_2023__100_Value,Q1 2007_Index_Average_Q1_2023__100_Value,Q2 2007_Index_Average_Q1_2023__100_Value,Q3 2007_Index_Average_Q1_2023__100_Value,Q4 2007_Index_Average_Q1_2023__100_Value,Q1 2008_Index_Average_Q1_2023__100_Value,Q2 2008_Index_Average_Q1_2023__100_Value,Q3 2008_Index_Average_Q1_2023__100_Value,Q4 2008_Index_Average_Q1_2023__100_Value,Q1 2009_Index_Average_Q1_2023__100_Value,Q2 2009_Index_Average_Q1_2023__100_Value,Q3 2009_Index_Average_Q1_2023__100_Value,Q4 2009_Index_Average_Q1_2023__100_Value,Q1 2010_Index_Average_Q1_2023__100_Value,Q2 2010_Index_Average_Q1_2023__100_Value,Q3 2010_Index_Average_Q1_2023__100_Value,Q4 2010_Index_Average_Q1_2023__100_Value,Q1 2011_Index_Average_Q1_2023__100_Value,Q2 2011_Index_Average_Q1_2023__100_Value,Q3 2011_Index_Average_Q1_2023__100_Value,Q4 2011_Index_Average_Q1_2023__100_Value,Q1 2012_Index_Average_Q1_2023__100_Value,Q2 2012_Index_Average_Q1_2023__100_Value,Q3 2012_Index_Average_Q1_2023__100_Value,Q4 2012_Index_Average_Q1_2023__100_Value,Q1 2013_Index_Average_Q1_2023__100_Value,Q2 2013_Index_Average_Q1_2023__100_Value,Q3 2013_Index_Average_Q1_2023__100_Value,Q4 2013_Index_Average_Q1_2023__100_Value,Q1 2014_Index_Average_Q1_2023__100_Value,Q2 2014_Index_Average_Q1_2023__100_Value,Q3 2014_Index_Average_Q1_2023__100_Value,Q4 2014_Index_Average_Q1_2023__100_Value,Q1 2015_Index_Average_Q1_2023__100_Value,Q2 2015_Index_Average_Q1_2023__100_Value,Q3 2015_Index_Average_Q1_2023__100_Value,Q4 2015_Index_Average_Q1_2023__100_Value,Q1 2016_Index_Average_Q1_2023__100_Value,Q2 2016_Index_Average_Q1_2023__100_Value,Q3 2016_Index_Average_Q1_2023__100_Value,Q4 2016_Index_Average_Q1_2023__100_Value,Q1 2017_Index_Average_Q1_2023__100_Value,Q2 2017_Index_Average_Q1_2023__100_Value,Q3 2017_Index_Average_Q1_2023__100_Value,Q4 2017_Index_Average_Q1_2023__100_Value,Q1 2018_Index_Average_Q1_2023__100_Value,Q2 2018_Index_Average_Q1_2023__100_Value,Q3 2018_Index_Average_Q1_2023__100_Value,Q4 2018_Index_Average_Q1_2023__100_Value,Q1 2019_Index_Average_Q1_2023__100_Value,Q2 2019_Index_Average_Q1_2023__100_Value,Q3 2019_Index_Average_Q1_2023__100_Value,Q4 2019_Index_Average_Q1_2023__100_Value,Q1 2020_Index_Average_Q1_2023__100_Value,Q2 2020_Index_Average_Q1_2023__100_Value,Q3 2020_Index_Average_Q1_2023__100_Value,Q4 2020_Index_Average_Q1_2023__100_Value,Q1 2021_Index_Average_Q1_2023__100_Value,Q2 2021_Index_Average_Q1_2023__100_Value,Q3 2021_Index_Average_Q1_2023__100_Value,Q4 2021_Index_Average_Q1_2023__100_Value,Q1 2022_Index_Average_Q1_2023__100_Value,Q2 2022_Index_Average_Q1_2023__100_Value,Q3 2022_Index_Average_Q1_2023__100_Value,Q4 2022_Index_Average_Q1_2023__100_Value,Q1 2023_Index_Average_Q1_2023__100_Value,Q2 2023_Index_Average_Q1_2023__100_Value,Q3 2023_Index_Average_Q1_2023__100_Value,Q4 2023_Index_Average_Q1_2023__100_Value,Q1 2024_Index_Average_Q1_2023__100_Value,Q2 2024_Index_Average_Q1_2023__100_Value,Q3 2024_Index_Average_Q1_2023__100_Value,Q4 2024_Index_Average_Q1_2023__100_Value,Q1 2025_Index_Average_Q1_2023__100_Value,Q2 2025_Index_Average_Q1_2023__100_Value,Q3 2025_Index_Average_Q1_2023__100_Value,Q4 2025_Index_Average_Q1_2023__100_Value,Q1 2026_Index_Average_Q1_2023__100_Value,Q2 2026_Index_Average_Q1_2023__100_Value
"Dem. People's Rep. of Korea, Nampo",6.47,6.47,6.47,6.47,6.34,6.34,6.34,12.62,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,7.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dem. Rep. of the Congo, Banana",,,,,,,,,,,,,,,,,21.08,20.61,20.77,12.41,12.63,11.97,11.97,11.97,11.97,19.18,9.54,9.54,,,,,,,,,,,,,,,,,,,,,,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,13.7,12.44,12.44,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.06,15.68,15.68,15.68,15.68,15.68,15.68,15.68
"Dem. Rep. of the Congo, Boma",22.82,22.85,23.3,23.3,18.21,19.8,20.7,20.39,18.5,18.55,18.55,18.55,21.28,21.28,19.58,19.58,35.53,35.3,35.45,35.88,35.86,36.1,36.1,35.2,31.14,43.47,33.6,41.05,46.18,45.87,47.42,50.17,50.26,54.39,42.97,27.89,28.62,34.01,27.85,31.02,25.58,19.25,16.79,16.41,16.41,11.34,16.41,22.15,14.91,26.72,22.49,21.85,21.85,23.13,23.13,23.13,10.51,10.51,10.51,10.51,10.51,10.51,10.51,10.51,,,,,,,,,,,,,,,,,,
"Dem. Rep. of the Congo, Matadi",46.67,46.7,42.31,42.31,38.72,39.38,39.72,39.56,38.32,46.73,50.56,50.56,40.54,40.97,35.25,35.25,49.85,49.66,49.81,51.1,51.25,52.03,53.18,52.76,49.72,55.59,56.19,50.39,53.27,53.27,54.82,57.57,57.67,52.36,52.36,50.61,45.37,45.87,53.94,34.43,55.57,49.14,53.45,54.69,54.66,52.15,54.64,48.3,41.06,48.73,45.13,39.54,39.54,33.54,42.1,42.1,38.71,38.71,38.71,38.71,33.02,33.38,36.27,38.18,32.51,32.39,28.9,36.54,38.4,44.62,44.91,44.91,47.27,45.61,39.83,36.71,41.8,41.76,33.65,40.54,46.59,47.51
"Denmark, Aabenraa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,11.81,15.43,15.43,15.43,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark, Aalborg",20.26,28.67,28.67,28.75,21.05,21.05,21.05,12.13,12.13,12.13,12.13,12.13,12.13,,,,,,,16.05,21.62,13.67,13.67,20.98,20.98,21.93,20.66,26.76,26.67,27.31,27.34,17.36,17.36,17.36,18.88,18.99,26.3,11.66,11.66,18.97,27.55,27.55,26.03,17.45,17.45,17.45,17.45,17.45,17.45,17.36,19.98,19.98,19.98,19.98,19.11,19.11,19.11,19.75,31.58,33.66,33.66,29.56,29.56,29.56,29.56,29.56,29.56,33.74,29.03,28.93,28.93,28.83,28.93,28.82,28.82,28.93,28.93,28.93,11.8,11.8,11.8,11.8
"Denmark, Aarhus",118.07,127.98,133.82,152.09,150.97,136.59,121.38,131.72,133.7,147.22,150.35,145.27,142.22,142.94,141.33,150.49,150.47,157.14,153.62,156.46,172.72,177.53,176.42,170.71,188.3,170.4,175.68,175.47,173.6,165.66,180.07,190.16,175.57,180.41,174.46,176.16,175.47,178.73,177.84,180.5,187.63,172.22,171.24,168.05,167.7,170.81,168.75,169.62,169.62,180.24,173.49,173.51,172.93,176.36,187.99,184.31,180.21,180.56,177.51,167.31,166.44,158.22,158.22,162.27,166.05,163.69,157.58,154.18,159.7,163.66,164,165.24,152.9,153.06,152.63,146.48,134.53,159.87,164.6,183.29,181.02,181.2
"Denmark, Copenhagen",34.7,33.18,39.02,50.04,44.94,44.94,39.29,43.38,35.63,31.74,48.35,64.92,64.92,48.83,43.01,46.55,55.97,63.28,47.61,52.86,65,51.32,58.16,56.6,58.44,51.65,50.33,57.17,58.2,57.59,53.23,55.56,44.85,44.42,51.44,45.25,45.48,43.05,44.9,48.52,52.12,44.2,35.67,34.01,31.42,25.94,26.83,35.75,41.19,49.36,39.26,38.93,44.83,46.14,46.13,49.03,33.3,29.33,33.43,33.43,30.64,31.01,31,31.7,31.61,30.61,30.58,26.87,26.87,33.54,35,35.63,39.27,39.59,50.61,37.77,35.92,35.94,34.26,34.54,36.9,37.12
"Denmark, Esbjerg",16.41,16.41,16.41,24.3,17.23,17.23,17.92,35.98,43.79,43.79,36.66,38.27,38.27,29.04,29.04,29.04,25.82,25.82,25.82,25.82,25.82,35.77,37.27,28.85,27.46,27.35,27.35,17.39,29.26,29.26,27.52,31.22,31.22,48.28,36.09,17.63,17.63,17.63,17.63,17.63,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51,23.33,23.33,23.78,23.78,23.78,23.78,23.9,24.23,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,,,,,,,,,,,
"Denmark, Fredericia",20.31,21.63,21.63,20.07,22.19,22.19,13.68,13.68,13.68,14.31,18.91,14.85,14.85,21.35,29.96,31.3,27.79,27.79,28.19,36.58,43.38,27.74,27.83,20.99,33.95,31.14,26.76,12.59,12.93,12.93,25.58,27.73,27.54,28.4,25.7,25.71,25.31,21.4,35.62,27.69,39.85,35.03,26.51,21.07,18.6,23.12,23.12,35.32,37.9,47.71,45.87,56.27,55.21,55.25,55.15,44.78,44.78,46.36,40.75,51.82,50.84,51.67,44.83,44.39,38.64,46.38,43.95,39.03,39.88,45.96,48.29,48.29,48.28,51.05,48.45,51.11,53.67,50.3,50.3,50.33,51.51,51.51
"Denmark, Frederikshaven",,,,,,,,,,,,,,,,,,,,,,,,,,10.37,18.32,11.21,13.71,20.29,9.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark, Grenaa",,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,21.2,21.2,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,10.04,12.11,12.11,12.11,12.11,24.22,24.22,24.22,24.22,24.22,24.22,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11
"Denmark, Hanstholm",,,,,,,,,,,,,,,,,,,,,,15.78,15.78,15.78,15.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark, Hirtshals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62,8.62,8.62,8.62,8.62,13.58,10.41,10.41,10.41,10.41
"Denmark, Horsens",,,,,,,,,,,,,,,,,,,,,,,,,,,,11.81,11.81,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark, Hundested",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11,12.11
"Denmark, Kalundborg",,,,,,,,,,,,,,,,,,,,,,,,,,,12.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.08,13.08,13.08,20.15,20.15,18.65,18.65,18.53,17.49,17.49,17.32,16.43,16.43,28.13,28.23,24.76,29.65,11.8,11.8,11.8,11.8,11.8,11.8,11.8
"Denmark, Mariager",,,,,,,10.57,10.57,10.57,10.57,10.57,10.57,10.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Denmark, Skagen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32,11.76,12.37,12.43,13.01,12.43,11.84,11.84,11.84,11.8,11.8,11.8,,,,,,,,,,,,,,,,,,
"Djibouti, Djibouti",106.84,105.05,109.57,130.65,138.23,142.96,146.57,140.91,137.35,108.36,109.32,97.45,146.61,159.54,160.74,141.05,122.12,119.95,127.41,121.9,121.48,124.99,128.57,124.16,120.26,115.62,119.39,120.68,118.44,127.42,133.45,136.24,150.79,146.31,157.99,153.47,162.69,156.48,166.37,168.17,197.75,201.56,206.07,199.61,196.77,180.82,189.02,191.57,203.17,204.71,191.98,186.33,171.07,157.88,165.64,162.99,161.74,166.69,162.93,160.97,167.6,166.44,171.27,160.05,171.54,159.4,164.03,157.43,173.14,171.83,178.91,200.07,152.37,156.41,168.46,167.19,193.07,188.07,165.46,182.76,193.66,210.34
"Dominica, Roseau",44.07,42.79,42.79,42.79,42.79,43.39,43.39,29.2,29.1,29.1,29.1,29.1,29.1,29.84,30.48,30.48,29.7,29.7,29.7,38.21,36.95,36.95,36.95,38.21,38.21,38.21,38.21,38.21,40.58,34.01,40.46,40.46,40.46,40.46,40.46,33.88,33.88,42.54,33.88,33.88,44.97,39.47,29.48,29.4,30.12,30.12,30.12,30.1,30.1,54.18,40.47,40.47,39.84,47.53,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.81,47.81,42.72,43.37,43.39,43.37,43.39,44.27,42.35,42.34,42.34,43.02,43.09,43.09,43.09,43.09,43.08,43.08,43.08,43.72,43.77
"Dominican Republic, Boca Chia",22.21,22.18,22.18,22.18,22.18,22.18,22.18,22.19,25.55,24.22,16.89,25.61,25.61,25.61,17.14,17.14,17.14,17.14,17.92,10.45,10.45,10.45,10.45,10.92,10.45,10.45,16.38,16.38,16.38,16.87,16.87,16.87,16.82,16.89,16.89,17.48,17.48,29.24,29.34,25.12,26.36,26.36,26.36,26.36,26.55,26.55,26.55,26.55,26.55,26.55,26.56,26.56,26.56,28.34,28.33,22.69,22.69,22.69,22.69,,,,,,,,,,,,,,,,,,,,,,,
"Dominican Republic, Cabo Rojo",,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dominican Republic, Caucedo",102.23,98.28,96.97,115.65,115.58,126.06,159.66,158.39,155.69,162.61,145.09,152.47,153.87,148.53,174.12,175.87,168.89,174.72,165.81,181.45,176.21,179.54,186.28,185.18,200.88,220.93,213.79,220.71,221.66,222.72,222.71,227.76,225.16,222.49,224.03,216.38,200.99,201.89,184.86,190.63,207.75,209.69,197.86,199.52,205.6,209.28,237.63,244.03,243.41,236.69,214.81,217.09,213.32,217.09,223.16,229.68,218.57,226.26,219.26,232.35,232.53,232.36,241.46,234.88,236.04,248.86,245.59,237.83,240.44,243.61,235.9,245.44,246.72,235.3,241.64,221.96,244.24,242.63,234.8,239.28,251.65,251.77
"Dominican Republic, Manzanillo (DO)",8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,8.13,,,,,,,,,,,,,,,,,,,,,,,,,8.42,8.42,,,,,12.72,12.72,12.72,12.72,12.72,12.72,12.72,13.46,13.46,13.46,13.46,13.46,13.46,13.46,13.63,13.63,13.46,13.46,13.45,13.45,13.46,13.46,13.46,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.92,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93,14.93
"Dominican Republic, Puerto Plata",55.51,44.97,44.97,44.97,38.31,38.31,29.93,22.91,37.34,32.4,29.91,39.05,39.05,33.73,33.09,33.09,33.09,33.09,38.38,36.29,37.41,25.22,25.22,32.67,32.2,27.32,27.25,27.25,34.25,30.84,30.84,30.84,35.23,35.23,35.23,35.16,35.16,45.98,46.08,47.38,50.75,50.75,54.31,41.71,39.16,39.16,39.16,39.16,39.16,45.67,48.77,48.77,50.83,53.28,53.93,47.37,47.48,45.51,45.51,34.89,34.89,34.89,34.69,18.06,18.06,25.13,25.13,25.13,25.13,25.13,21.04,21.04,21.04,21.05,27.55,27.55,27.55,27.92,27.92,27.72,24.44,24.61
"Dominican Republic, Rio Haina",161.19,159.81,159.73,160.72,167.16,166.6,177.57,167.26,175.88,169.72,167.77,178.09,191.56,180.1,151.65,154.64,153.95,150.65,155.13,144.71,160.21,145.7,148.24,151.23,126.39,97.29,104.32,114.6,107.23,99.23,114.33,114.33,115.68,112.39,117.57,109.81,128.51,125.15,125.26,126.07,148.86,139.05,159.03,153.35,147.09,134.88,139.26,138.6,158.08,141.02,133.4,142.69,144.76,145,149.4,150.16,149.74,139.32,123.92,127.03,127,126.38,122.51,111.01,120.77,118.44,118.4,117.83,117.96,113.59,113.63,117.07,117.33,118.54,118.68,117.29,110.7,118.07,113.84,113.91,114.98,115.46
"Dominican Republic, Santo Domingo",9.35,10.94,10.94,10.94,,,,,,,,13.66,13.66,13.66,14.72,14.72,14.08,14.08,14.08,15.03,15.03,,,,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ecuador, Esmeraldas",21.9,29.61,33.06,33.06,32.23,29.6,35.48,35.48,42.98,46.34,46.17,48.74,34.75,34.75,30.5,30.5,30.5,30.24,30.24,30.22,38.05,38.06,38.69,38.67,44,38.03,29.9,35.12,35.12,35.12,36.35,36.35,36.35,36.35,21.78,34.98,34.98,34.85,21.78,35.29,21.79,36.26,36.26,28.78,28.78,13.06,13.06,13.06,30.68,36.33,28.93,28.93,28.93,28.93,28.92,28.74,27.31,27.31,18.63,18.63,,,,,,,,,,,,,,,,,,,,,,
"Ecuador, Guayaquil",165.43,169,176.61,173.75,185.46,176.15,167.63,167.44,155.52,167.42,177.24,185.34,189.11,196.12,204.68,206.31,208.65,204.17,221.67,248.34,256.91,259.84,246.57,245.96,227.85,215.1,206.48,196.47,219.19,223.91,227.19,223.01,215.72,228.19,213.57,212.95,213.4,228.81,251.72,252.47,261.25,264.85,257.11,248.42,254.51,240.78,242.43,248.37,248.69,232.76,209.65,228.97,249.88,251.1,239.94,238.03,261.98,266.18,262.26,247.85,252.66,255.36,250.06,224.64,226.07,224.1,230.79,215.7,216.68,231.09,234.14,245.65,224.88,221.3,219.37,217.56,229.67,230.4,230.04,227.71,218.86,224.79
"Ecuador, Manta",22.12,30.28,37.38,37.38,29.2,29.2,29.2,20.2,20.2,20.2,19.82,19.82,19.82,19.82,18.73,18.54,18.54,18.54,18.56,18.56,20.47,20.47,20.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,,,,15.65,15.65,15.66,15.66,14.37,14.37,14.37,14.37,14.37,14.37,14.37,,,,,,,,,,,,
"Ecuador, Posorja",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.98,73.46,72.91,69.05,69.2,69.2,69.25,69.25,67.97,67.46,67.5,76.4,109.16,114.52,111.83,112.67,116.71,117.32,139.63,140.66,140.53,140.43,126.22,129.37,129.51,111.6,125.53,141.22
"Ecuador, Puerto Bolivar (EC)",,,,,,,,,,,,,,,8.38,8.38,17.97,17.97,18.78,18.6,20.65,20.65,20.65,24.52,24.52,23.89,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,8.38,9.86,9.86,9.86,9.86,9.86,21.89,31.68,35.5,35.5,35.5,31.68,36.72,46.88,48.79,48.79,61.43,69.29,63.39,72.38,71.19,71.17,71.48,80.5,78.64,92.19,70.63,70.63,93.09,86.7,88.88,85.82,110.77,98.41,89.9,85.42,79.37,84.91,79.41,79.41,77.82,78.54
"Egypt, Abu Qir",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.71,20.16,20.16,,112.79,130.92,143.67,83.29,104.8,108.14
"Egypt, Adabiya",9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,9.79,19.42,11.92,11.93,11.93,11.93,11.93,11.93,11.93,11.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.65,15.68,15.68,15.68,15.68,15.68,15.68,15.68,15.04,15.04
"Egypt, Alexandria",215.82,230.26,245.05,244.28,252.41,254.13,250.37,234.28,252,242.07,233.68,205.77,229.1,217.63,241.88,252.02,243.85,254.09,267.93,254.74,264.95,250.88,252.16,253.83,228.26,236.24,247.91,285.84,283.41,306.14,308.14,307.23,299.44,300.16,305,305.18,322.16,304.72,300.41,301.12,335.91,349.54,328.76,303.81,305.28,281.91,280.11,288.8,294.63,278.86,289.23,286.6,274.59,273.21,273.61,287.4,268.93,257.37,258.23,266.67,258.26,243.53,249.07,251.17,244.37,241.81,237.84,235.41,259.31,307.31,314.28,317.66,343.4,338.7,316.87,329.09,335.65,362.75,379.67,391.61,365.78,362.86
"Egypt, Damietta",153.5,170.05,168.61,162.06,185.89,190.81,202.77,222.78,239.23,209.59,228.94,210.71,217.13,231.91,235.42,235.83,226,228.66,233.08,233.45,237.72,236.22,217.65,217,220.39,187.76,190.43,174.47,159.14,155.38,147.29,145.33,148.01,151.46,156.51,152.07,158.71,152.13,193.47,180.19,225.4,230.49,243.66,234.95,225.81,226.63,244.51,237.98,246.06,240.59,217.62,212.34,217.46,223.76,202.97,196.95,198.66,195.75,181.91,183.68,196.61,181.88,193.8,182.05,191.5,188.73,197.09,197.6,196.7,243.47,246.52,253.12,252.28,220.66,195.69,217.75,187.3,211.16,208.76,267.57,265.59,288.08
"Egypt, El Dekheila",8.95,16.81,18.57,23.19,18.51,18.51,17.02,17.02,19.03,25.73,66.13,91.71,62.71,75.25,61.51,53.19,64.12,64.14,63.96,83.35,91.06,91.06,96.33,48.62,48.62,54.48,55.19,38.77,38.78,44.04,44.04,53.19,53.19,44.04,67.38,69.74,69.74,95.13,97.87,90.74,90.54,58.53,42.29,45.06,23.99,23.99,46.41,34.96,57.42,65.42,55.81,63.44,84.73,79.54,67.04,41.83,48.71,45.17,33.05,33.11,45.3,44.9,36.36,35.08,35.4,60.66,79,80.06,87.28,83.7,108.53,125.82,126.69,135.3,126.13,104.15,85.61,86.92,96.88,65.66,106.71,111.26
"Egypt, El Sokhna",52.99,54.51,53.69,51.86,64.03,64.1,58.24,57.44,56.03,57.81,69.26,70.88,94.39,107.85,98.76,95.23,92.55,100.81,94.39,95.76,95.32,95.33,89.32,83.62,86.28,91.93,94.15,105.7,92.64,93.4,94.07,94,93.99,98.75,99.58,93.07,92.39,92.71,97.02,103.12,102.23,102.75,117.26,111.43,125.44,101.65,102.8,104.09,102.17,130.94,132.76,115.13,118.65,112.4,122.52,121.71,122.12,120.3,127.18,126.68,126.88,125.81,121.72,120.64,129.76,127.51,134.46,132.05,136.18,149,157.1,162.85,105.52,125.12,140.6,137.06,168.88,174.33,161.27,156.08,149.09,169.61
"Egypt, Port Said",410.93,415.38,410.96,402.44,399.53,371.52,375.45,385.71,405.48,424.24,392.95,395.74,397.27,364.38,347.35,356.91,352.86,365.13,378.13,379.55,419.91,411,416.23,399.71,372.29,342.42,378.1,385.3,375.22,375.57,405.2,422.18,427.37,446.81,454.66,448.09,448.74,432.15,414.89,405,418.24,422.89,397.58,394.85,385.81,361.77,351.36,364.29,377.21,374.31,371.48,326.86,347.52,349.17,340.56,374.56,366.73,360.71,364.93,370.97,367.72,349.93,333.79,342.56,339.69,340.59,347.79,348.34,331.57,337.08,345.18,349.73,273.05,287.61,289.94,317.39,284.15,296.13,317.57,328.08,343.44,345.72
"Egypt, Suez",12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,20.68,20.68,20.68,20.68,20.68,20.68,20.68,20.68,12.32,12.32,12.32,12.32,12.32,12.32,12.32,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Salvador, Acajutla",52.7,56.7,53.41,53.52,53.39,53.45,57.06,57.06,57.39,57.54,57.75,54.22,56.63,46.54,45.63,50.83,47.68,47.82,43.64,44.53,50.17,30.33,34.17,40.33,40.33,43.84,38.08,46.47,57.57,57.47,57.56,47.91,47.92,47.92,48.59,48.61,48.97,41.86,41.86,41.85,42.2,43.5,43.5,44.13,44.13,44.13,55.84,55.84,55.84,55.84,52,52,57.88,57.88,57.88,57.88,42.8,42.8,45.56,44.92,44.92,44.92,42.96,45.5,49.47,49.51,47.32,47.32,47.37,46.64,47.08,47.99,56.82,52.94,48.4,48.63,56.9,51.64,53.3,55.77,55.81,56.58
"El Salvador, La Union",,,,,,,,,,,,,,,,,,,,,,,,17.6,17.6,17.6,17.6,21.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Salvador, San Salvador",,,,,,,,,,,,,,,,,,,9.04,9.04,18.37,18.37,18.37,17.82,,,,,,,,,26.8,26.8,26.8,26.81,26.81,26.83,26.83,26.83,26.83,26.83,26.83,33.74,34.41,34.41,34.44,34.44,34.44,33.8,33.8,33.8,33.8,30.22,30.24,30.05,23.77,23.77,23.87,21.96,21.96,21.96,21.96,,,,,,,,,,,,,,,,,,,
"Equatorial Guinea, Bata",29.2,31.06,30.82,30.5,30.18,30.18,22.88,29.69,29.74,29.41,29.41,29.41,29.42,29.42,30.9,37.27,40.79,41.97,42.03,51.59,52.83,53.04,54.14,54.97,55.03,53.12,54.48,61.74,66.47,51.66,51.15,51.15,53.82,51.55,29.05,59.97,59.73,61.31,59.12,27.48,27.48,27.21,53.55,52.93,53,53.01,53.03,53.03,53.01,52.43,55.04,56.29,56.29,56.29,56.41,59.44,58.77,59.74,58.66,58.66,58.04,55.83,55.66,56.4,56.29,49.81,50.66,50.72,50.72,50.08,50.21,50.21,50.21,49.68,49.64,49,51.31,52.51,52.51,52.52,51.91,51.91
"Equatorial Guinea, Luba",,,,,,,,,,,,,,,12.38,12.38,13.63,13.66,13.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equatorial Guinea, Malabo",40,45.25,40.51,40.07,41.79,42.06,42.09,48.24,48.26,43.17,43.14,43.14,43.15,43.15,45.27,50.78,52.4,53.57,53.57,48.46,49.72,49.94,45.21,46.04,46.1,45.23,51.36,59.26,57.54,56.05,56.04,56.04,58.75,57.75,58.83,56.37,56.46,56.47,63.01,39.59,31.77,34.55,60.26,59.61,59.68,59.69,59.39,60.32,60.3,61,60.19,39.35,39.35,39.35,40.04,45.64,44.34,49.58,64.45,64.45,63.81,64.42,67.44,68.18,67.39,61.54,64.98,65.02,61.83,61.83,61.96,61.96,61.96,61.45,61.41,60.79,57.29,58.49,58.49,58.49,57.88,57.88
